Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,6,asymmetric,0.61,0.4554886346879596
100% Corpus,6,asymmetric,0.9099999999999999,0.474634193008741
100% Corpus,6,asymmetric,symmetric,0.38249714445762256
100% Corpus,7,0.01,0.01,0.4065107741970804
100% Corpus,7,0.01,0.31,0.3749264603556114
100% Corpus,7,0.01,0.61,0.3645978926085888
100% Corpus,7,0.01,0.9099999999999999,0.38430705979125435
100% Corpus,7,0.01,symmetric,0.3836486231856339
100% Corpus,7,0.31,0.01,0.3592196285203215
100% Corpus,7,0.31,0.31,0.38511597645358003
100% Corpus,7,0.31,0.61,0.3747185529234902
100% Corpus,7,0.31,0.9099999999999999,0.38357268023123703
100% Corpus,7,0.31,symmetric,0.35275112768953576
100% Corpus,7,0.61,0.01,0.3540967539526735
100% Corpus,7,0.61,0.31,0.34878398158229246
100% Corpus,7,0.61,0.61,0.3566267023421867
100% Corpus,7,0.61,0.9099999999999999,0.34695271172615927
100% Corpus,7,0.61,symmetric,0.3571573511242924
100% Corpus,7,0.9099999999999999,0.01,0.3707463274496228
100% Corpus,7,0.9099999999999999,0.31,0.3399726608087446
100% Corpus,7,0.9099999999999999,0.61,0.3279361545833587
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.30927252192233967
100% Corpus,7,0.9099999999999999,symmetric,0.3548819392159727
100% Corpus,7,symmetric,0.01,0.39731149820344397
100% Corpus,7,symmetric,0.31,0.39170438095686827
100% Corpus,7,symmetric,0.61,0.3686797191352861
100% Corpus,7,symmetric,0.9099999999999999,0.35720754968469176
100% Corpus,7,symmetric,symmetric,0.386911445774521
100% Corpus,7,asymmetric,0.01,0.3929989972202469
100% Corpus,7,asymmetric,0.31,0.3683539039216881
100% Corpus,7,asymmetric,0.61,0.45358736834531665
100% Corpus,7,asymmetric,0.9099999999999999,0.5168463417576449
100% Corpus,7,asymmetric,symmetric,0.3625127471171475
100% Corpus,8,0.01,0.01,0.39091138944355586
100% Corpus,8,0.01,0.31,0.3848704217354203
100% Corpus,8,0.01,0.61,0.3901814108395003
100% Corpus,8,0.01,0.9099999999999999,0.3976857412218361
100% Corpus,8,0.01,symmetric,0.3811698489369103
100% Corpus,8,0.31,0.01,0.397995733526063
100% Corpus,8,0.31,0.31,0.3819963585013762
100% Corpus,8,0.31,0.61,0.3668454709411404
100% Corpus,8,0.31,0.9099999999999999,0.369948628568744
100% Corpus,8,0.31,symmetric,0.3843321212665899
100% Corpus,8,0.61,0.01,0.37751065601596756
100% Corpus,8,0.61,0.31,0.36763378611367575
100% Corpus,8,0.61,0.61,0.34619772117196834
100% Corpus,8,0.61,0.9099999999999999,0.35681073746083214
100% Corpus,8,0.61,symmetric,0.3706416313979151
100% Corpus,8,0.9099999999999999,0.01,0.3807745309424442
100% Corpus,8,0.9099999999999999,0.31,0.3506353860819075
100% Corpus,8,0.9099999999999999,0.61,0.3313631579250296
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.3380797818693774
100% Corpus,8,0.9099999999999999,symmetric,0.3771721065240313
100% Corpus,8,symmetric,0.01,0.38752825743897057
100% Corpus,8,symmetric,0.31,0.38870917049795295
100% Corpus,8,symmetric,0.61,0.3830776424265796
100% Corpus,8,symmetric,0.9099999999999999,0.3870645371829763
100% Corpus,8,symmetric,symmetric,0.3874644298098964
100% Corpus,8,asymmetric,0.01,0.3560839217668749
100% Corpus,8,asymmetric,0.31,0.4306085653803204
100% Corpus,8,asymmetric,0.61,0.403601718936191
100% Corpus,8,asymmetric,0.9099999999999999,0.4242103470224603
100% Corpus,8,asymmetric,symmetric,0.3494554807881057
100% Corpus,9,0.01,0.01,0.3987234543169255
100% Corpus,9,0.01,0.31,0.4002192288756175
100% Corpus,9,0.01,0.61,0.4063462295681718
100% Corpus,9,0.01,0.9099999999999999,0.4053711390231375
100% Corpus,9,0.01,symmetric,0.41204970831399695
100% Corpus,9,0.31,0.01,0.3836058203586719
100% Corpus,9,0.31,0.31,0.38562258378764375
100% Corpus,9,0.31,0.61,0.36790860444696366
100% Corpus,9,0.31,0.9099999999999999,0.3446678889338897
100% Corpus,9,0.31,symmetric,0.38305603111263714
100% Corpus,9,0.61,0.01,0.3888820179466924
100% Corpus,9,0.61,0.31,0.3889568232475827
100% Corpus,9,0.61,0.61,0.3695805500284163
100% Corpus,9,0.61,0.9099999999999999,0.36687817551782287
100% Corpus,9,0.61,symmetric,0.38521087955396055
100% Corpus,9,0.9099999999999999,0.01,0.3966320426222089
100% Corpus,9,0.9099999999999999,0.31,0.3554756805095571
100% Corpus,9,0.9099999999999999,0.61,0.3318276786137719
100% Corpus,9,0.9099999999999999,0.9099999999999999,0.39222838689191925
100% Corpus,9,0.9099999999999999,symmetric,0.38250272719792
100% Corpus,9,symmetric,0.01,0.38295129613741064
100% Corpus,9,symmetric,0.31,0.40167441009389976
100% Corpus,9,symmetric,0.61,0.3773212653512735
100% Corpus,9,symmetric,0.9099999999999999,0.39221093477183067
100% Corpus,9,symmetric,symmetric,0.3707978499191086
100% Corpus,9,asymmetric,0.01,0.3875626527634666
100% Corpus,9,asymmetric,0.31,0.3780253862935916
100% Corpus,9,asymmetric,0.61,0.36856984935926207
100% Corpus,9,asymmetric,0.9099999999999999,0.39935806722343475
100% Corpus,9,asymmetric,symmetric,0.3793225062506921
100% Corpus,10,0.01,0.01,0.4199774144701558
100% Corpus,10,0.01,0.31,0.40391547110732196
100% Corpus,10,0.01,0.61,0.4215694801492716
100% Corpus,10,0.01,0.9099999999999999,0.4381267284933169
100% Corpus,10,0.01,symmetric,0.4016156630766223
100% Corpus,10,0.31,0.01,0.3896933344452474
100% Corpus,10,0.31,0.31,0.38779163797247135
100% Corpus,10,0.31,0.61,0.3878088188476263
100% Corpus,10,0.31,0.9099999999999999,0.3788141694195234
100% Corpus,10,0.31,symmetric,0.39202182821588816
100% Corpus,10,0.61,0.01,0.3975746965748003
100% Corpus,10,0.61,0.31,0.3894302028491307
100% Corpus,10,0.61,0.61,0.37525297948363523
100% Corpus,10,0.61,0.9099999999999999,0.34174269713139316
100% Corpus,10,0.61,symmetric,0.3959617227495797
100% Corpus,10,0.9099999999999999,0.01,0.3736847612261665
100% Corpus,10,0.9099999999999999,0.31,0.3716190015218611
100% Corpus,10,0.9099999999999999,0.61,0.3928553682437662
100% Corpus,10,0.9099999999999999,0.9099999999999999,0.3642909501429833
100% Corpus,10,0.9099999999999999,symmetric,0.38675051751871364
100% Corpus,10,symmetric,0.01,0.41019846383467995
100% Corpus,10,symmetric,0.31,0.40643731838713604
100% Corpus,10,symmetric,0.61,0.402846986387027
100% Corpus,10,symmetric,0.9099999999999999,0.42667727387870097
100% Corpus,10,symmetric,symmetric,0.403304944615887
100% Corpus,10,asymmetric,0.01,0.37073055785354
100% Corpus,10,asymmetric,0.31,0.40852089613426845
100% Corpus,10,asymmetric,0.61,0.3323005426212314
100% Corpus,10,asymmetric,0.9099999999999999,0.4627727831458257
100% Corpus,10,asymmetric,symmetric,0.3805512280949484
